Bib,Catalog,Normalized,Name,Different?,IRI,LC ID
3166765,https://search.library.yale.edu/catalog/3166765,davis william william j,"Davis, William (William J.)",T,http://id.loc.gov/authorities/names/n85292342,http://id.loc.gov/authorities/names/n85292342
3169295,https://search.library.yale.edu/catalog/3169295,kingsley mrs,"Kingsley, Mrs.",M,http://id.loc.gov/authorities/names/n2022065113,http://id.loc.gov/authorities/names/n2022065113
3201115,https://search.library.yale.edu/catalog/3201115,coombs f frederick,"Coombs, F. (Frederick)",F,http://id.loc.gov/authorities/names/nr00015971,http://id.loc.gov/authorities/names/nr00015971
3204345,https://search.library.yale.edu/catalog/3204345,ochoa jose a,"Ochoa, José A.",T,http://id.loc.gov/authorities/names/no2003043748,http://id.loc.gov/authorities/names/no2003043748
3204961,https://search.library.yale.edu/catalog/3204961,may c a charles a,"May, C. A. (Charles A.)",T,http://id.loc.gov/authorities/names/n83327616,http://id.loc.gov/authorities/names/n83327616
3337618,https://search.library.yale.edu/catalog/3337618,slack j c john c,"Slack, J. C. (John C.)",T,http://id.loc.gov/authorities/names/nr98031783,http://id.loc.gov/authorities/names/nr98031783
3440839,https://search.library.yale.edu/catalog/3440839,coleman george p,"Coleman, George P.",T,http://id.loc.gov/authorities/names/no2011095352,http://id.loc.gov/authorities/names/no2011095352
3535878,https://search.library.yale.edu/catalog/3535878,pacheco de cordova y bocanegra francisco marques de villamayor,"Pacheco de Córdova y Bocanegra, Francisco, marqués de Villamayor.",F,http://id.loc.gov/authorities/names/nr2004020840,http://id.loc.gov/authorities/names/nr2004020840
3536041,https://search.library.yale.edu/catalog/3536041,pacheco de cordova y bocanegra francisco marques de villamayor,"Pacheco de Córdova y Bocanegra, Francisco, marqués de Villamayor.",F,http://id.loc.gov/authorities/names/nr2004020840,http://id.loc.gov/authorities/names/nr2004020840
3536464,https://search.library.yale.edu/catalog/3536464,pacheco de cordova y bocanegra francisco marques de villamayor,"Pacheco de Córdova y Bocanegra, Francisco, marqués de Villamayor.",F,http://id.loc.gov/authorities/names/nr2004020840,http://id.loc.gov/authorities/names/nr2004020840
3536477,https://search.library.yale.edu/catalog/3536477,pacheco de cordova y bocanegra francisco marques de villamayor,"Pacheco de Córdova y Bocanegra, Francisco, marqués de Villamayor.",F,http://id.loc.gov/authorities/names/nr2004020840,http://id.loc.gov/authorities/names/nr2004020840
3595255,https://search.library.yale.edu/catalog/3595255,pacheco de cordova y bocanegra francisco marques de villamayor,"Pacheco de Córdova y Bocanegra, Francisco, marqués de Villamayor.",F,http://id.loc.gov/authorities/names/nr2004020840,http://id.loc.gov/authorities/names/nr2004020840
3668969,https://search.library.yale.edu/catalog/3668969,butler david p,"Butler, David P.",F,http://id.loc.gov/authorities/names/n2017181331,http://id.loc.gov/authorities/names/n2017181331
3676570,https://search.library.yale.edu/catalog/3676570,monte-snyder joh de johannes,"Monte-Snyder, Joh. de (Johannes)",F,http://id.loc.gov/authorities/names/n92801064,http://id.loc.gov/authorities/names/n92801064
3739906,https://search.library.yale.edu/catalog/3739906,joseph son of jacob,Joseph (Son of Jacob),F,http://id.loc.gov/authorities/names/n79097427,http://id.loc.gov/authorities/names/n79097427
3740515,https://search.library.yale.edu/catalog/3740515,richter paul,"Richter, Paul.",T,http://id.loc.gov/authorities/names/n84023014,http://id.loc.gov/authorities/names/n84023014
3742594,https://search.library.yale.edu/catalog/3742594,joseph son of jacob,Joseph (Son of Jacob),,http://id.loc.gov/authorities/names/n79097427,http://id.loc.gov/authorities/names/n79097427
3743142,https://search.library.yale.edu/catalog/3743142,daniel biblical figure,Daniel (Biblical figure),,http://id.loc.gov/authorities/names/n50082264,http://id.loc.gov/authorities/names/n50082264
3743142,https://search.library.yale.edu/catalog/3743142,daniel biblical figure,Daniel (Biblical figure),,http://id.loc.gov/authorities/names/n50082264,http://id.loc.gov/authorities/names/n50082264
3751167,https://search.library.yale.edu/catalog/3751167,butler c e charles e,"Butler, C. E. (Charles E.)",,http://id.loc.gov/authorities/names/no2005035606,http://id.loc.gov/authorities/names/no2005035606
3804459,https://search.library.yale.edu/catalog/3804459,eutocius of ascalon,"Eutocius, of Ascalon.",,http://id.loc.gov/authorities/names/n85056938,http://id.loc.gov/authorities/names/n85056938
3910681,https://search.library.yale.edu/catalog/3910681,rees j rogers john rogers,"Rees, J. Rogers (John Rogers)",,http://id.loc.gov/authorities/names/no96027547,http://id.loc.gov/authorities/names/no96027547
3910681,https://search.library.yale.edu/catalog/3910681,rees j rogers john rogers,"Rees, J. Rogers (John Rogers)",,http://id.loc.gov/authorities/names/no96027547,http://id.loc.gov/authorities/names/no96027547
3923481,https://search.library.yale.edu/catalog/3923481,fellowes w d william dorset,"Fellowes, W. D. (William Dorset)",,http://id.loc.gov/authorities/names/nr95019076,http://id.loc.gov/authorities/names/nr95019076
3923481,https://search.library.yale.edu/catalog/3923481,fellowes w d william dorset,"Fellowes, W. D. (William Dorset)",,http://id.loc.gov/authorities/names/nr95019076,http://id.loc.gov/authorities/names/nr95019076
3933209,https://search.library.yale.edu/catalog/3933209,mary magdalene saint,"Mary Magdalene, Saint.",,http://id.loc.gov/authorities/names/n79032992,http://id.loc.gov/authorities/names/n79032992
3937823,https://search.library.yale.edu/catalog/3937823,john the apostle saint,"John, the Apostle, Saint.",,http://id.loc.gov/authorities/names/n79060715,http://id.loc.gov/authorities/names/n79060715
3949364,https://search.library.yale.edu/catalog/3949364,xenophon of ephesus,"Xenophon, of Ephesus.",,http://id.loc.gov/authorities/names/n80051712,http://id.loc.gov/authorities/names/n80051712
3963317,https://search.library.yale.edu/catalog/3963317,visiak e h edward harold,"Visiak, E. H. (Edward Harold)",,http://id.loc.gov/authorities/names/n79090189,http://id.loc.gov/authorities/names/n79090189
3963563,https://search.library.yale.edu/catalog/3963563,powys gertrude m gertrude mary,"Powys, Gertrude M. (Gertrude Mary)",,http://id.loc.gov/authorities/names/nr90000571,http://id.loc.gov/authorities/names/nr90000571
3963608,https://search.library.yale.edu/catalog/3963608,knighton lady,"Knighton, Lady.",,http://id.loc.gov/authorities/names/no95016260,http://id.loc.gov/authorities/names/no95016260
3993512,https://search.library.yale.edu/catalog/3993512,martin j j james john,"Martin, J. J. (James John)",,http://id.loc.gov/authorities/names/n88668832,http://id.loc.gov/authorities/names/n88668832
3993512,https://search.library.yale.edu/catalog/3993512,martin j j james john,"Martin, J. J. (James John)",,http://id.loc.gov/authorities/names/n88668832,http://id.loc.gov/authorities/names/n88668832
3995132,https://search.library.yale.edu/catalog/3995132,gratton joseph,"Gratton, Joseph.",,http://id.loc.gov/authorities/names/nb2007019184,http://id.loc.gov/authorities/names/nb2007019184
4006219,https://search.library.yale.edu/catalog/4006219,manuel de san jose fray,"Manuel de San José, fray.",,http://id.loc.gov/authorities/names/n78039002,http://id.loc.gov/authorities/names/n78039002
4053020,https://search.library.yale.edu/catalog/4053020,owen captain,"Owen, Captain.",,http://id.loc.gov/authorities/names/nb2009001563,http://id.loc.gov/authorities/names/nb2009001563
4053020,https://search.library.yale.edu/catalog/4053020,owen captain,"Owen, Captain.",,http://id.loc.gov/authorities/names/nb2009001563,http://id.loc.gov/authorities/names/nb2009001563
4077624,https://search.library.yale.edu/catalog/4077624,gillum virginia a virginia anne,"Gillum, Virginia A. (Virginia Anne)",,http://id.loc.gov/authorities/names/nr98035655,http://id.loc.gov/authorities/names/nr98035655
4097525,https://search.library.yale.edu/catalog/4097525,lyttelton sybella lady,"Lyttelton, Sybella, Lady.",,http://id.loc.gov/authorities/names/nr92025016,http://id.loc.gov/authorities/names/nr92025016
4115216,https://search.library.yale.edu/catalog/4115216,dakini buddhist deity,Ḍākinī (Buddhist deity),,http://id.loc.gov/authorities/subjects/sh85035482,http://id.loc.gov/authorities/subjects/sh85035482
4116465,https://search.library.yale.edu/catalog/4116465,avalokitesvara buddhist deity,Avalokiteśvara (Buddhist deity),,http://id.loc.gov/authorities/subjects/sh85010492,http://id.loc.gov/authorities/subjects/sh85010492
4120141,https://search.library.yale.edu/catalog/4120141,frink charles ph d,"Frink, Charles, Ph. D.",,http://id.loc.gov/authorities/names/n94074900,http://id.loc.gov/authorities/names/n94074900
4122931,https://search.library.yale.edu/catalog/4122931,muromtseva-bunina v n vera nikolaevna,"Muromt︠s︡eva-Bunina, V. N. (Vera Nikolaevna)",,http://id.loc.gov/authorities/names/n83186313,http://id.loc.gov/authorities/names/n83186313
4241753,https://search.library.yale.edu/catalog/4241753,maguire t miller thomas miller,"Maguire, T. Miller (Thomas Miller)",,http://id.loc.gov/authorities/names/n88665761,http://id.loc.gov/authorities/names/n88665761
4241753,https://search.library.yale.edu/catalog/4241753,maguire t miller thomas miller,"Maguire, T. Miller (Thomas Miller)",,http://id.loc.gov/authorities/names/n88665761,http://id.loc.gov/authorities/names/n88665761
4249615,https://search.library.yale.edu/catalog/4249615,luna antonio,"Luna, Antonio.",,http://id.loc.gov/authorities/names/n2008182513,http://id.loc.gov/authorities/names/n2008182513
4258454,https://search.library.yale.edu/catalog/4258454,sacy samuel s de samuel silvestre,"Sacy, Samuel S. de (Samuel Silvestre)",,http://id.loc.gov/authorities/names/n50052126,http://id.loc.gov/authorities/names/n50052126
4274159,https://search.library.yale.edu/catalog/4274159,john of damascus saint,"John, of Damascus, Saint.",,http://id.loc.gov/authorities/names/n80032173,http://id.loc.gov/authorities/names/n80032173
4275365,https://search.library.yale.edu/catalog/4275365,alexius saint,"Alexius, Saint.",,http://id.loc.gov/authorities/names/n50072216,http://id.loc.gov/authorities/names/n50072216
4301560,https://search.library.yale.edu/catalog/4301560,garver m s milton stahl,"Garver, M. S. (Milton Stahl)",,http://id.loc.gov/authorities/names/no91004921,http://id.loc.gov/authorities/names/no91004921
4305738,https://search.library.yale.edu/catalog/4305738,osler grace revere gross lady,"Osler, Grace Revere Gross, Lady.",,http://id.loc.gov/authorities/names/n85092193,http://id.loc.gov/authorities/names/n85092193
4309580,https://search.library.yale.edu/catalog/4309580,macer floridus,"Macer, Floridus.",,http://id.loc.gov/authorities/names/n84806519,http://id.loc.gov/authorities/names/n84806519
4314227,https://search.library.yale.edu/catalog/4314227,churchward c maxwell clerk maxwell,"Churchward, C. Maxwell (Clerk Maxwell)",,http://id.loc.gov/authorities/names/n88174082,http://id.loc.gov/authorities/names/n88174082
4336905,https://search.library.yale.edu/catalog/4336905,sedgwick william t mrs,"Sedgwick, William T., Mrs.",,http://id.loc.gov/authorities/names/nr99000760,http://id.loc.gov/authorities/names/nr99000760
4340942,https://search.library.yale.edu/catalog/4340942,adams g j george j,"Adams, G. J. (George J.)",,http://id.loc.gov/authorities/names/n79121245,http://id.loc.gov/authorities/names/n79121245
4374410,https://search.library.yale.edu/catalog/4374410,shelley henry c henry charles,"Shelley, Henry C. (Henry Charles)",,http://id.loc.gov/authorities/names/no93029164,http://id.loc.gov/authorities/names/no93029164
4459076,https://search.library.yale.edu/catalog/4459076,miller j graham john graham,"Miller, J. Graham (John Graham)",,http://id.loc.gov/authorities/names/n88039085,http://id.loc.gov/authorities/names/n88039085
4496764,https://search.library.yale.edu/catalog/4496764,lone wolf kiowa indian,"Lone Wolf, Kiowa Indian.",,http://id.loc.gov/authorities/names/n94018080,http://id.loc.gov/authorities/names/n94018080
4517516,https://search.library.yale.edu/catalog/4517516,nicolaus of damascus,"Nicolaus, of Damascus.",,http://id.loc.gov/authorities/names/n85344961,http://id.loc.gov/authorities/names/n85344961
4525645,https://search.library.yale.edu/catalog/4525645,apuleius barbarus herbarium,"Apuleius, Barbarus. Herbarium.",,http://id.loc.gov/authorities/names/no2018065489,http://id.loc.gov/authorities/names/no2018065489
4525645,https://search.library.yale.edu/catalog/4525645,placitus sextus papyriensis,"Placitus, Sextus, Papyriensis.",,http://id.loc.gov/authorities/names/no98079800,http://id.loc.gov/authorities/names/no98079800
4631558,https://search.library.yale.edu/catalog/4631558,wylie w w william wallace,"Wylie, W. W. (William Wallace)",,http://id.loc.gov/authorities/names/no99084350,http://id.loc.gov/authorities/names/no99084350
4667357,https://search.library.yale.edu/catalog/4667357,moens a adrian,"Moens, A. (Adrian)",,http://id.loc.gov/authorities/names/n85381146,http://id.loc.gov/authorities/names/n85381146
4673723,https://search.library.yale.edu/catalog/4673723,gilbertus anglicus,"Gilbertus, Anglicus.",,http://id.loc.gov/authorities/names/n84804335,http://id.loc.gov/authorities/names/n84804335
4705153,https://search.library.yale.edu/catalog/4705153,macer floridus,"Macer, Floridus.",,http://id.loc.gov/authorities/names/n84806519,http://id.loc.gov/authorities/names/n84806519
4718670,https://search.library.yale.edu/catalog/4718670,dioscorides pedanius of anazarbos,"Dioscorides Pedanius, of Anazarbos.",,http://id.loc.gov/authorities/names/n83204415,http://id.loc.gov/authorities/names/n83204415
4720623,https://search.library.yale.edu/catalog/4720623,rufus of ephesus,"Rufus, of Ephesus.",,http://id.loc.gov/authorities/names/n83122630,http://id.loc.gov/authorities/names/n83122630
