Select,XPath,Examples
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bflc:marcKey,"1001 $aBraine, Martin D. S.
7102 $aCentar za istraživanje migracija i narodnosti (Zagreb, Croatia)
7102 $aSveučilište u Zagrebu.$bInstitut za migracije i narodnosti."
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdfs:label,"Braine, Martin D. S.
Centar za istraživanje migracija i narodnosti (Zagreb, Croatia)
Sveučilište u Zagrebu. Institut za migracije i narodnosti."
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bf:identifiedBy/bf:Identifier/rdf:value,"597
1049
644"
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bf:identifiedBy/bf:Identifier/bf:source/bf:Source/bf:code,CtY-BA
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bflc:appliesTo/bflc:AppliesTo/rdfs:label,"GV1199 A74
QH68 .H92
NC1475 .O596 1855"
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:role/bf:Role/rdfs:label,"ill.
author
translator"
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bf:role/bf:Role/bf:code,"cnd.
prf."
,/rdf:RDF/bf:Work/bf:contribution/bf:Contribution/bflc:applicableInstitution/bf:Agent/bf:code,"797 % sp2
CtY-BR
DLC."
,/rdf:RDF/bf:Work/bf:title/bf:Title/bf:mainTitle,"Children's first word combinations
Migracijske teme
Colour 73"
,/rdf:RDF/bf:Work/bf:title/bf:Title/bflc:nonSortNum,4
,/rdf:RDF/bf:Work/bf:title/bf:Title/bf:partNumber,"Reihe 3.1
Reihe A
Abt. B"
,/rdf:RDF/bf:Work/bf:title/bf:Title/bf:partName,"Beschäftigte und Umsatz im Einzelhandel, Messzahlen
Shiryō hen
資料編"
,/rdf:RDF/bf:Work/bf:title/bf:AbbreviatedTitle/bf:mainTitle,"Migr. teme
J. gen. physiol.
Atoll res. bull."
,/rdf:RDF/bf:Work/bf:title/bf:AbbreviatedTitle/bf:assigner/bf:Agent/bf:code,issnkey
,/rdf:RDF/bf:Work/bf:title/bf:AbbreviatedTitle/bf:qualifier,"(Washington)
(Print)
(Lympne)"
,/rdf:RDF/bf:Work/bf:title/bf:KeyTitle/bf:mainTitle,"Migracijske teme
The Journal of general physiology
Historical New Hampshire"
,/rdf:RDF/bf:Work/bf:title/bf:KeyTitle/bflc:nonSortNum,4
,/rdf:RDF/bf:Work/bf:title/bf:KeyTitle/bf:qualifier,"(Washington)
(Print)
(Lympne)"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:mainTitle,"Trópicos, crítica y réplica
Accession list of National Central Library
Drei Konzerte für fünf Flöten"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:variantType,"added title page
portion"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:note/bf:Note/rdfs:label,"Volumes 127-281 have title
For nos. 1252- individual issues have title
Some issues have title"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:partNumber,"Abteilung B
Francis 531"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:partName,"Paläophytologie
Biological sciences"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:date,"1969/70
<, June 1977->
2 (enero/marzo 1985)-"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:subtitle,"inventaire sommaire des Archives départementales antérieures à 1790
North Dakota quarterly"
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bf:qualifier,varies slightly
,/rdf:RDF/bf:Work/bf:title/bf:VariantTitle/bflc:applicableInstitution/bf:Agent/bf:code,CtY-LW
,/rdf:RDF/bf:Work/bf:title/bf:ParallelTitle/bf:mainTitle,"Génome
Suid-Afrikaanse boeke tans in druk
Vengerskai︠a︡ ėkonomicheskai︠a︡ literatura"
